Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Cheilanthes farinosa (Forssk.) Kaulf.	PTERIDACEAE\n深山粉背蕨 
Cheilanthes hirsuta (Poir.) Mett.	PTERIDACEAE\n毛碎米蕨 
Cheilanthes tenuifolia (Burm.) Sw.	PTERIDACEAE\n薄葉碎米蕨 
Cheilanthes dealbata D. Don.	PTERIDACEAE\n台灣粉背蕨 
Cheilanthes mexicana Fee.	PTERIDACEAE\n粉背蕨 
Cheilanthes subargentea (Ching et S. K. Wu) Kuo	PTERIDACEAE\n擬長柄粉背蕨 
Cryptogramma brunoniana Wall. ex Hook. & Grev.	PTERIDACEAE\n高山珠蕨 
Cryptogramma stelleri (Gmel.) Prantl	PTERIDACEAE\n疏葉珠蕨 
Doryopteris concolor (Langsd. & Fisch.) Kuhn	PTERIDACEAE\n黑心蕨 
Mildella henryi (Christ) Hall & Lell.	PTERIDACEAE\n亨氏擬旱蕨 
Onychium contiguum (Wall.) Hope	PTERIDACEAE\n高山金粉蕨 
Onychium japonicum (Thunb.) Kunze	PTERIDACEAE\n日本金粉蕨 
Onychium siliculosum (Desv.) C. Chr.	PTERIDACEAE\n金粉蕨 
Pteris angustipinna Tagawa	PTERIDACEAE\n細葉鳳尾蕨 
Pteris bella Tagawa	PTERIDACEAE\n長柄鳳尾蕨 
Pteris biaurita L.	PTERIDACEAE\n弧脈鳳尾蕨 
Pteris cadieri Christ	PTERIDACEAE\n二形鳳尾蕨 
Pteris cretica L.	PTERIDACEAE\n大葉鳳尾蕨 
Pteris dactylina Hook.	PTERIDACEAE\n掌鳳尾蕨 
Pteris deltodon Bak.	PTERIDACEAE\n岩鳳尾蕨 
Pteris dispar Kunze	PTERIDACEAE\n天草鳳尾蕨 
Pteris ensiformis Burm.	PTERIDACEAE\n箭葉鳳尾蕨 
Pteris excelsa Gaud.	PTERIDACEAE\n溪鳳尾蕨 
Pteris fauriei Hieron.	PTERIDACEAE\n傅氏鳳尾蕨 
Pteris formosana Bak.	PTERIDACEAE\n台灣鳳尾蕨 
Pteris grevilleana Wall	PTERIDACEAE\n翅柄鳳尾蕨 
Pteris kidoi Kurata	PTERIDACEAE\n城戶氏鳳尾蕨 
Pteris linearis Poir.	PTERIDACEAE\n三角脈鳳尾蕨 
Pteris longipes Don	PTERIDACEAE\n蓬萊鳳尾蕨 
Pteris longipinna Hayata	PTERIDACEAE\n長葉鳳尾蕨 
Pteris multifida Poir.	PTERIDACEAE\n鳳尾蕨 
Pteris nipponica Shieh	PTERIDACEAE\n日本鳳尾蕨 
Pteris pellucidifolia Hayata	PTERIDACEAE\n闊葉鳳尾蕨 
Pteris scabristipes Tagawa	PTERIDACEAE\n紅柄鳳尾蕨 
Pteris semipinnata L.	PTERIDACEAE\n半邊羽裂鳳尾蕨 
Pteris setulosocostulata Hayata	PTERIDACEAE\n有刺鳳尾蕨 
Pteris tokioi Masam.	PTERIDACEAE\n鈴木氏鳳尾蕨 
Pteris tripartita Sw.	PTERIDACEAE\n三腳鳳尾蕨 
Pteris venusta Kunze	PTERIDACEAE\n爪哇鳳尾蕨 
Pteris vittata L.	PTERIDACEAE\n鱗蓋鳳尾蕨 
Pteris wallichiana Ag.	PTERIDACEAE\n瓦氏鳳尾蕨 
Pteris × wulaiensis Kuo	PTERIDACEAE\n烏來鳳尾蕨 
Pteris ryukyuensis Tagawa	PTERIDACEAE\n琉球鳳尾蕨 
Acrostichum aureum L.	ADIANTACEAE\n鹵蕨 
Adiantum capillusjunonis Rupr.	ADIANTACEAE\n團羽鐵線蕨 
Adiantum capillusveneris L.	ADIANTACEAE\n鐵線蕨 
Adiantum caudatum L.	ADIANTACEAE\n鞭葉鐵線蕨 
Adiantum diaphanum Bl.	ADIANTACEAE\n長尾鐵線蕨 
Adiantum edgeworthii Hook.	ADIANTACEAE\n愛氏鐵線蕨 
Adiantum flabellulatum L.	ADIANTACEAE\n扇葉鐵線蕨 
Adiantum formosanum Tagawa	ADIANTACEAE\n深山鐵線蕨 
Adiantum hispidulum Sw.	ADIANTACEAE\n毛葉鐵線蕨 
Adiantum malesianum Ghatak	ADIANTACEAE\n馬來鐵線蕨 
Adiantum monochlamys Eat.	ADIANTACEAE\n石長生 
Adiantum myriosorum Bak.	ADIANTACEAE\n灰背鐵線蕨 
Adiantum philippense L.	ADIANTACEAE\n半月形鐵線蕨 
Adiantum roborowskii Maxim. var. taiwanianum (Tagawa) Shieh	ADIANTACEAE\n台灣高山鐵線蕨 
Adiantum soboliferum Wall. ex Hook.	ADIANTACEAE\n翅柄鐵線蕨 
Adiantum meishanianum Kuo	ADIANTACEAE\n梅山鐵線蕨 
Adiantum wangii Kuo	ADIANTACEAE\n王氏鐵線蕨 
Anogramma leptophylla (L.) Link	ADIANTACEAE\n翠蕨 
Coniogramme fraxinea (Don) Diels	ADIANTACEAE\n全緣鳳ㄚ蕨 
Coniogramme intermedia Heiron.	ADIANTACEAE\n華鳳ㄚ蕨 
Coniogramme japonica (Thunb.) Diels	ADIANTACEAE\n日本鳳ㄚ蕨 
Coniogramme procera (Wall.) Fée	ADIANTACEAE\n高山鳳ㄚ蕨 
Gymnopteris vestita (Wall.) Underw.	ADIANTACEAE\n金毛裸蕨 
Hemionitis arifolia (Burm.) Moore	ADIANTACEAE\n澤瀉蕨 
Pityrogramma calomelanos (L.) Link	ADIANTACEAE\n粉葉蕨 
Antrophyum formosanum Heron.	VITTARIACEAE\n台灣車前蕨 
Antrophyum obovatum Bak.	VITTARIACEAE\n車前蕨 
Antrophyum parvulum Bl.	VITTARIACEAE\n無柄車前蕨 
Antrophyum sessilifolium (Cav.) Spring	VITTARIACEAE\n蘭嶼車前蕨 
Vaginularia paradoxa (Fée) Mett.	VITTARIACEAE\n連孢一條線蕨 
Vaginularia trichoidea (J. Sm.) Fée	VITTARIACEAE\n一條線蕨 
Vittaria angusteelongata Hayata	VITTARIACEAE\n姬書帶蕨 
Vittaria flexuosa Fée	VITTARIACEAE\n書帶蕨 
Vittaria taeniophylla Copel.	VITTARIACEAE\n廣葉書帶蕨 
Vittaria zosterifolia Willd.	VITTARIACEAE\n垂葉書帶蕨 
Matteuccia orientalis (Hook.) Trev.	ONOCLEACEAE\n東方莢果蕨 
Blechnum melanopus Hook.	BLECHNACEAE\n雉尾烏毛蕨 
Blechnum orientale L.	BLECHNACEAE\n烏毛蕨 
Brainea insignis (Hook.) J. Sm.	BLECHNACEAE\n蘇鐵蕨 
Diploblechnum fraseri (A. Cunn.) DeVol	BLECHNACEAE\n假桫欏 
Struthiopteris eburnea (Christ) Ching var. obtusa (Tagawa) Tagawa	BLECHNACEAE\n天長羅曼蕨 
Struthiopteris hancockii (Hance) Tagawa	BLECHNACEAE\n韓氏羅曼蕨 
Woodwardia harlandii Hook.	BLECHNACEAE\n哈氏狗脊蕨 
Woodwardia japonica (L. f.) Sm.	BLECHNACEAE\n日本狗脊蕨 
Woodwardia kempii Copel.	BLECHNACEAE\n細葉狗脊蕨 
Woodwardia orientalis Sw. var. formosana Rosenst.	BLECHNACEAE\n台灣狗脊蕨 
Woodwardia unigemmata (Makino) Nakai	BLECHNACEAE\n生芽狗脊蕨 
Ctenitis apiciflora (Wall. ex Mett.) Ching	ASPIDIACEAE\n頂囊肋毛蕨 
Ctenitis eatonii (Bak.) Ching	ASPIDIACEAE\n愛德氏肋毛蕨 
Ctenitis kawakamii (Hayata) Ching	ASPIDIACEAE\n川上氏肋毛蕨\n川上氏擬鱗毛蕨\n 
Ctenitis maximowicziana (Miq.) Ching	ASPIDIACEAE\n白鱗肋毛蕨 
Ctenitis subglandulosa (Hance) Ching	ASPIDIACEAE\n肋毛蕨 
Ctenitis transmorrisonensis (Hayata) Tagawa	ASPIDIACEAE\n玉山肋毛蕨 
Ctenitopsis dissecta (Forst.) Ching	ASPIDIACEAE\n薄葉擬肋毛蕨 
Ctenitopsis fuscipes (Wall. ex Bedd.) C. Chr. ex Tardieu & C. Chr.	ASPIDIACEAE\n屏東擬肋毛蕨 
Ctenitopsis kusukusensis (Hayata) C. Chr. ex Tardieu & C. Chr.	ASPIDIACEAE\n高士佛擬肋毛蕨 
Hemigramma decurrens (Hook.) Copel	ASPIDIACEAE\n沙皮蕨 
Hypodematium crenatum (Forsk.) Kuhn	ASPIDIACEAE\n腫足蕨 
Lastreopsis tenera (R. Br.) Tindale	ASPIDIACEAE\n金毛蕨 
Pleocnemia cumingiana Presl	ASPIDIACEAE\n黃腺羽蕨\n網脈突齒蕨\n 
Pteridrys cnemidaria (Christ) C. Chr. & Ching	ASPIDIACEAE\n長柄牙蕨\n突齒蕨\n 
Quercifilix zeylanica (Houtt.) Copel.	ASPIDIACEAE\n地耳蕨 
Tectaria coadunata (Wall.) C. Chr.	ASPIDIACEAE\n陰地三叉蕨\n觀音三叉蕨\n 
Tectaria decurrens (Pr.) Copel.	ASPIDIACEAE\n翅柄三叉蕨 
Tectaria devexa (Kze.) Copel.	ASPIDIACEAE\n薄葉三叉蕨 
Tectaria fauriei Tagawa	ASPIDIACEAE\n傅氏三叉蕨 
