Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Liparis nakaharai Hayata	ORCHIDACEAE(蘭科)\n長葉羊耳蒜\n蓬萊羊耳蘭\n台灣羊耳蒜
Liparis nervosa (Thunb.) Lindl.	ORCHIDACEAE(蘭科)\n紅花羊耳蒜\n黑蘭\n黑花羊耳蒜
Liparis nigra Seidenf.	ORCHIDACEAE(蘭科)\n大花羊耳蒜\n羊耳草\n大谷蘭
Liparis somai Hayata	ORCHIDACEAE(蘭科)\n高士佛羊耳蒜\n高士佛羊耳蘭\n 
Liparis bootanensis Griff.	ORCHIDACEAE(蘭科)\n一葉羊耳蒜\n摺疊羊耳蘭\n內山氏羊耳蘭
Liparis campylostalix Reichb. f.	ORCHIDACEAE(蘭科)\n彎柱羊耳蒜\n彎柱羊耳蘭\n 
Liparis condylobulbon Reichb. f.	ORCHIDACEAE(蘭科)\n長腳羊耳蒜\n長耳蘭\n薤蘭
Liparis cordifolia Hook.	ORCHIDACEAE(蘭科)\n心葉羊耳蒜\n阿里山羊耳蘭\n溪頭羊耳蒜
Liparis elliptica Wight	ORCHIDACEAE(蘭科)\n扁球羊耳蒜\n扁球羊耳蘭\n 
Liparis formosana Reichb. f.	ORCHIDACEAE(蘭科)\n寶島羊耳蒜\n寶島羊耳蘭\n 
Liparis grossa Reichb. f.	ORCHIDACEAE(蘭科)\n恒春羊耳蒜\n紅鈴蟲蘭\n立石氏羊耳蘭
Liparis japonica (Miq.) Maxim.	ORCHIDACEAE(蘭科)\n長穗羊耳蒜\n長穗羊耳蘭\n 
Liparis krameri Franch. & Sav. var. sasakii (Hayata) T. Hashim.	ORCHIDACEAE(蘭科)\n尾唇羊耳蒜\n新羊耳蘭\n 
Liparis sootenzanensis Fukuy.	ORCHIDACEAE(蘭科)\n插天山羊耳蒜\n黃花羊耳蘭\n黃花黑蘭
Liparis viridiflora (Bl.) Lindl.	ORCHIDACEAE(蘭科)\n淡綠羊耳蒜\n長腳羊耳蘭\n長莖蘭
Liparis wrayii Hook. f.	ORCHIDACEAE(蘭科)\n鬚唇羊耳蒜 
Listera macrantha Fukuy.	ORCHIDACEAE(蘭科)\n大花雙葉蘭\n長舌雙葉蘭\n巨藥雙葉蘭
Listera morrisonicola Hayata	ORCHIDACEAE(蘭科)\n玉山雙葉蘭\n台灣雙葉蘭\n 
Listera nankomontana Fukuy.	ORCHIDACEAE(蘭科)\n南湖雙葉蘭 
Listera pseudonipponica Fukuy.	ORCHIDACEAE(蘭科)\n假日本雙葉蘭\n裂唇雙葉蘭\n 
Listera suzukii Masam.	ORCHIDACEAE(蘭科)\n鈴木氏雙葉蘭\n太平山雙葉蘭\n烏來雙葉蘭
Listera taizanensis Fukuy.	ORCHIDACEAE(蘭科)\n大山雙葉蘭 
Listera japonica Bl.	ORCHIDACEAE(蘭科)\n日本雙葉蘭\n小雙葉蘭\n 
Listera kuanshanensis H. J. Su	ORCHIDACEAE(蘭科)\n關山雙葉蘭 
Listera meifongensis H. J. Su & C. Y. Hu	ORCHIDACEAE(蘭科)\n梅峰雙葉蘭 
Luisia cordata Fukuy.	ORCHIDACEAE(蘭科)\n心唇金釵蘭\n安朔金釵蘭\n 
Luisia teres (Thunb.) Bl.	ORCHIDACEAE(蘭科)\n金釵蘭\n牡丹金釵蘭\n 
Luisia megasepala Hayata	ORCHIDACEAE(蘭科)\n台灣金釵蘭\n大萼金釵股\n台灣骨蘭
Malaxis bancanoides Ames	ORCHIDACEAE(蘭科)\n裂唇軟葉蘭\n蘭嶼小柱蘭\n三宅小柱蘭
Malaxis latifolia J. E. Sm.	ORCHIDACEAE(蘭科)\n廣葉軟葉蘭\n花柱蘭\n廣葉小柱蘭
Malaxis matsudae (Yamam.) Hatus.	ORCHIDACEAE(蘭科)\n凹唇軟葉蘭\n凹唇小柱蘭\n松田氏小柱蘭
Malaxis monophyllos (L.) Sw.	ORCHIDACEAE(蘭科)\n單葉軟葉蘭\n阿里山小柱蘭\n阿里山穗花一葉蘭
Malaxis microtatantha (Schltr.) T. Tang & F. T. Wangs	ORCHIDACEAE(蘭科)\n小軟葉蘭 
Malaxis purpurea (Lindl.) Kuntze.	ORCHIDACEAE(蘭科)\n紫花軟葉蘭\n亮葉沼蘭\n 
Malaxis ramosii Ames	ORCHIDACEAE(蘭科)\n圓唇軟葉蘭\n圓唇小柱蘭\n 
Microtatorchis compacta (Ames) Schltr.	ORCHIDACEAE(蘭科)\n假蜘蛛蘭 
Microtis unifolia (Forst.) Reichb. f.	ORCHIDACEAE(蘭科)\n韭葉蘭 
Mischobulbum cordifolium (Hook. f.) Schltr.	ORCHIDACEAE(蘭科)\n心葉葵蘭\n葵蘭\n 
Myrmechis drymoglossifolia Hayata	ORCHIDACEAE(蘭科)\n白花金唇蘭\n阿里山全唇蘭\n南湖全唇蘭
Neofinetia falcata (Thunb.) Hu	ORCHIDACEAE(蘭科)\n風蘭 
Nervilia aragoana Gaudich.	ORCHIDACEAE(蘭科)\n東亞脈葉蘭\n一年一葉蘭\n脈葉蘭
Nervilia taitoensis (Hayata) Schltr.	ORCHIDACEAE(蘭科)\n台東脈葉蘭 
Nervilia cumberlegei Seidenf. & Smitin.	ORCHIDACEAE(蘭科)\n古氏脈葉蘭 
Nervilia lanyuensis S. S. Ying	ORCHIDACEAE(蘭科)\n蘭嶼脈葉蘭 
Nervilia nipponica Makino	ORCHIDACEAE(蘭科)\n單花脈葉蘭 
Nervilia plicata (Andr.) Schltr.	ORCHIDACEAE(蘭科)\n紫花脈葉蘭\n紫背脈葉蘭\n 
Oberonia arisanensis Hayata	ORCHIDACEAE(蘭科)\n阿里山莪白蘭\n阿里山瓔珞蘭\n 
Oberonia caulescens Lindl. ex Wall.	ORCHIDACEAE(蘭科)\n二裂唇莪白蘭\n狹葉鳶尾蘭\n 
Oberonia gigantea Fukuy.	ORCHIDACEAE(蘭科)\n大莪白蘭 
Oberonia insularis Hayata	ORCHIDACEAE(蘭科)\n島嶼莪白蘭 
Oberonia japonica (Maxim.) Makino	ORCHIDACEAE(蘭科)\n台灣莪白蘭\n日本莪白蘭\n台灣瓔珞蘭
Oberonia rosea Hook. f.	ORCHIDACEAE(蘭科)\n裂瓣莪白蘭\n劍葉莪白蘭\n 
Oberonia falcata King & Pantling	ORCHIDACEAE(蘭科)\n細葉莪白蘭 
Oberonia pumila (Fukuyama ex S. C. Chen & K. Y. Lang) S. S. Ying ex Ormerod	ORCHIDACEAE(蘭科)\n小騎士蘭 
Oberonia seidenfadenii (H. J. Su) Ormerod	ORCHIDACEAE(蘭科)\n密花小騎士蘭 
Oreorchis patens (Lindl) Lindl.	ORCHIDACEAE(蘭科)\n細花山蘭\n雙板山蘭\n 
Oreorchis bilamellata Fukuy.	ORCHIDACEAE(蘭科)\n雙板山蘭\n大霸山蘭\n 
Oreorchis fargesii Finet.	ORCHIDACEAE(蘭科)\n密花山蘭\n頭花山蘭\n 
Oreorchis micrantha Lindl.	ORCHIDACEAE(蘭科)\n南湖山蘭\n大井山蘭\n 
Pachystoma pubescens Bl.	ORCHIDACEAE(蘭科)\n粉口蘭\n台灣粉口蘭\n毛芋蘭
Phaius flavus (Bl.) Lindl.	ORCHIDACEAE(蘭科)\n黃鶴頂蘭\n黃花鶴頂蘭\n 
Phaius mishmensis (Lindl. & Paxt.) Reichb. f.	ORCHIDACEAE(蘭科)\n細莖鶴頂蘭\n細距鶴頂蘭\n 
Phaius tankervilleae (Banks ex L’Her.) Bl.	ORCHIDACEAE(蘭科)\n紅鶴頂蘭\n鶴頂蘭\n紅鶴蘭
Phaius takeoi (Hayata) H. J. Su	ORCHIDACEAE(蘭科)\n粗莖鶴頂蘭 
Phalaenopsis aphrodite Reichb. f.	ORCHIDACEAE(蘭科)\n白蝴蝶蘭\n台灣蝴蝶蘭\n蝴蝶蘭
Phalaenopsis equestris (Schauer) Reichb. f.	ORCHIDACEAE(蘭科)\n粉紅蝴蝶蘭\n小蘭嶼蝴蝶蘭\n桃紅蝴蝶蘭
Pholidota cantonensis Rolfe	ORCHIDACEAE(蘭科)\n烏來石山桃 
Phreatia formosana Rolfe	ORCHIDACEAE(蘭科)\n寶島芙樂蘭\n蘭嶼芙樂蘭\n台灣馥蘭
Phreatia morii Hayata	ORCHIDACEAE(蘭科)\n大芙樂蘭\n森氏芙樂蘭\n森氏馥蘭
Phreatia taiwaniana Fukuy.	ORCHIDACEAE(蘭科)\n台灣芙樂蘭\n白芙樂蘭\n 
Phreatia caulescens Ames	ORCHIDACEAE(蘭科)\n垂莖芙樂蘭 
Platanthera brevicalcarata Hayata	ORCHIDACEAE(蘭科)\n短距粉蝶蘭\n玉山千鳥蘭\n玉山粉蝶蘭
Platanthera stenoglossa Hayata	ORCHIDACEAE(蘭科)\n狹唇粉蝶蘭 
Platanthera mandarinorum Reichb. f. subsp. formosana T. P. Lin & K. Inoue	ORCHIDACEAE(蘭科)\n惠粉蝶蘭 
Platanthera mandarinorum Reichb. f. subsp. pachyglossa (Hayata) T. P. Lin	ORCHIDACEAE(蘭科)\n厚唇粉蝶蘭 
Platanthera minor (Miq.) Reichb. f.	ORCHIDACEAE(蘭科)\n卵唇粉蝶蘭\n小舌唇蘭\n窄葉長距蘭
Platanthera sachalinensis F. Schmidt	ORCHIDACEAE(蘭科)\n高山粉蝶蘭\n長苞粉蝶蘭\n能高蜻蛉蘭
Platanthera yangmeiensis T. P. Lin	ORCHIDACEAE(蘭科)\n陰粉蝶蘭 
Platanthera longicalcarate Hayata	ORCHIDACEAE(蘭科)\n長距粉蝶蘭\n長距蜻蛉蘭\n長距蜻蜓草
Pleione bulbocodioides (Franch.) Rolfe	ORCHIDACEAE(蘭科)\n台灣一葉蘭 
Pogonia minor (Makino) Makino	ORCHIDACEAE(蘭科)\n小鬚唇蘭 
Pomatocalpa acuminata (Rolfe) Schltr.	ORCHIDACEAE(蘭科)\n黃繡球蘭 
Ponerorchis kiraishiensis (Hayata) Ohwi	ORCHIDACEAE(蘭科)\n紅小蝶蘭\n奇萊小蝶蘭\n奇萊紅蘭
Ponerorchis taiwanensis (Fukuy.) Ohwi	ORCHIDACEAE(蘭科)\n台灣小蝶蘭\n台灣紅蘭\n 
Ponerorchis takasagomontana (Masam.）Ohwi	ORCHIDACEAE(蘭科)\n高山小蝶蘭\n高山紅蘭\n 
Ponerorchis tominagai (Hayata) H. J. Su & J. J. Chen	ORCHIDACEAE(蘭科)\n紅斑蘭\n大水窟紅蘭\n大水窟小蝶蘭
Sarcophyton taiwanianum (Hayata) Garay	ORCHIDACEAE(蘭科)\n台灣肉蘭 
Schoenorchis vanoverberghii Ames	ORCHIDACEAE(蘭科)\n蘆蘭\n羞花蘭\n 
Spathoglottis plicata Bl.	ORCHIDACEAE(蘭科)\n紫苞舌蘭\n紅頭苞舌蘭\n蘭嶼紫蘭
Spiranthes sinensis (Pers.) Ames	ORCHIDACEAE(蘭科)\n綬草\n盤龍參\n 
Taeniophyllum complanatum Fukuy.	ORCHIDACEAE(蘭科)\n扁蜘蛛蘭\n大腳蜘蛛蘭\n平小蜘蛛蘭
Taeniophyllum formosanum Hayata	ORCHIDACEAE(蘭科)\n台灣蜘蛛蘭 
Taeniophyllum glandulosum Bl.	ORCHIDACEAE(蘭科)\n蜘蛛蘭\n帶葉蘭\n 
Tainia dunnii Rolfe	ORCHIDACEAE(蘭科)\n長葉杜鵑蘭 
Tainia latifolia (Lindl.) Reichb. f.	ORCHIDACEAE(蘭科)\n闊葉杜鵑蘭\n竹東杜鵑蘭\n橢圓杜鵑蘭
Tainia hualienia S. S. Ying	ORCHIDACEAE(蘭科)\n黃花小杜鵑蘭 
Thelasis pygmaea (Griff.) Bl.	ORCHIDACEAE(蘭科)\n閉花八粉蘭\n矮柱蘭\n隱封八粉蘭
Thrixspermum fantasticum L. O. Williams	ORCHIDACEAE(蘭科)\n金唇風蘭\n小風蘭\n烏來風蘭
Thrixspermum formosanum (Hayata) Schltr.	ORCHIDACEAE(蘭科)\n台灣風蘭\n埔里風蘭\n溪頭風蘭
Thrixspermum subulatum Reichb. f.	ORCHIDACEAE(蘭科)\n厚葉風蘭\n肥垂蘭\n 
Thrixspermum annamense (Guill.) Garay	ORCHIDACEAE(蘭科)\n白毛風蘭\n鉤唇風鈴蘭\n 
Thrixspermum eximium L. O. Williams	ORCHIDACEAE(蘭科)\n異色風蘭\n異色瓣\n 
Thrixspermum laurisilvaticum (Fukuy.) Garay	ORCHIDACEAE(蘭科)\n黃蛾蘭\n桂林狹唇蘭\n 
Thrixspermum merguense (Hook. f.) Kuntze	ORCHIDACEAE(蘭科)\n高士佛風蘭\n高士佛風鈴蘭\n 
Thrixspermum pensile Schltr.	ORCHIDACEAE(蘭科)\n倒垂風蘭\n懸垂風鈴蘭\n垂枝白蛾蘭
Thrixspermum saruwatarii (Hayata) Schltr.	ORCHIDACEAE(蘭科)\n小白蛾蘭\n阿里山白點蘭\n溪頭風蘭
Tipularia odorata Fukuy.	ORCHIDACEAE(蘭科)\n南湖蠅蘭 
Trichoglottis rosea (Lindl.) Ames	ORCHIDACEAE(蘭科)\n短穗毛舌蘭\n牡丹石蘭\n短穗石蘭
Trichoglottis ionosma (Lindl.) J. J. Sm.	ORCHIDACEAE(蘭科)\n屈子花 
Tropidia angulosa Bl.	ORCHIDACEAE(蘭科)\n東亞摺唇蘭 
Tropidia curculigoides Lindl.	ORCHIDACEAE(蘭科)\n仙茅摺唇蘭\n仙茅竹莖蘭\n 
Tropidia nipponica Masam.	ORCHIDACEAE(蘭科)\n日本摺唇蘭\n日本竹莖蘭\n 
Tropidia somae Hayata	ORCHIDACEAE(蘭科)\n相馬氏摺唇蘭 
Tuberolabium kotoense Yamam.	ORCHIDACEAE(蘭科)\n管唇蘭\n蘭嶼管唇蘭\n紅頭囊唇蘭
Tulotis taiwanensis S. S. Ying	ORCHIDACEAE(蘭科)\n台灣舌唇蘭 
Tulotis devolii T. P. Lin & T. W. Hu	ORCHIDACEAE(蘭科)\n長葉蜻蜓蘭 
Vanda lamellata Lindl.	ORCHIDACEAE(蘭科)\n雅美萬代蘭 
Papilionanthe taiwaniana (S. S. Ying) Ormerod	ORCHIDACEAE(蘭科)\n台灣萬代蘭 
Vanilla albida Bl.	ORCHIDACEAE(蘭科)\n台灣凡尼蘭\n台灣梵尼蘭\n姬氏梵尼蘭
Vexillabium integrum (Fukuy.) S. S. Ying	ORCHIDACEAE(蘭科)\n綠葉旗唇蘭\n旗唇蘭\n 
Vexillabium yakushimense (Yamam.) Maek.	ORCHIDACEAE(蘭科)\n紫葉旗唇蘭\n小旗唇蘭\n旗唇蘭
Vrydagzynea nuda Bl.	ORCHIDACEAE(蘭科)\n二尾蘭\n台灣二尾蘭\n 
Yoania japonica Maxim.	ORCHIDACEAE(蘭科)\n長花柄蘭\n密鱗姚氏蘭\n 
Zeuxine kantokeiense Tatew. & Masam.	ORCHIDACEAE(蘭科)\n關刀溪線柱蘭 
Zeuxine nervosa (Wall. ex Lindl.) Benth. ex Clarle	ORCHIDACEAE(蘭科)\n台灣線柱蘭\n黃花線柱蘭\n相馬氏線柱蘭
Zeuxine niijimai Tatew. & Masam.	ORCHIDACEAE(蘭科)\n眉原線柱蘭 
Zeuxine odorate Fukuy.	ORCHIDACEAE(蘭科)\n香線柱蘭\n香絹蘭\n 
Zeuxine strateumatica (L.) Schltr.	ORCHIDACEAE(蘭科)\n線柱蘭\n細葉線柱蘭\n岩線柱蘭
Cheirostylis tabiyahanensis (Hayata) Pearce & Cribb	ORCHIDACEAE(蘭科)\n東部線柱蘭\n裂唇指柱蘭\n裂唇線柱蘭
Zeuxine affinis (Lindl.) Benth. ex Hook. f.	ORCHIDACEAE(蘭科)\n白花線柱蘭 
Zeuxine agyokuana Fukuy.	ORCHIDACEAE(蘭科)\n阿玉線柱蘭\n阿玉山伴蘭\n綠葉角唇蘭
Zeuxine integrilabella C. S. Leou	ORCHIDACEAE(蘭科)\n全唇線柱蘭 
Zeuxine reflexa King & Pantl.	ORCHIDACEAE(蘭科)\n阿里山線柱蘭 
Zeuxine sakagutii Tuyama	ORCHIDACEAE(蘭科)\n黃唇線柱蘭\n寬葉線柱蘭\n 
Zeuxine tenuifolia Tuyama	ORCHIDACEAE(蘭科)\n毛鞘線柱蘭 
Arachnis labrosa (Lindl. & Paxt.) Reichb. f.	ORCHIDACEAE(蘭科)\n龍爪蘭\n假腎藥蘭\n細花腎藥蘭
Brachycorythis galeandra (Reichb. f.) Summerh.	ORCHIDACEAE(蘭科)\n寬唇苞葉蘭\n穗花捲瓣蘭\n寬唇角距蘭
Chamaeanthus wenzelii Ames	ORCHIDACEAE(蘭科)\n低藥蘭\n威氏細花蘭\n 
Cyrtosia javanica Bl.	ORCHIDACEAE(蘭科)\n肉果蘭 
Erythrorchis altissima (Bl.) Bl.	ORCHIDACEAE(蘭科)\n蔓莖山珊瑚\n山珊瑚\n倒吊蘭
Flickingeria comata (Bl.) Hawkes	ORCHIDACEAE(蘭科)\n木槲\n鬚唇暫花蘭\n 
Flickingeria pallens (Ridl.) Hawkes	ORCHIDACEAE(蘭科)\n淡色暫花蘭 
Flickingeria tairukounia (S. S. Ying) T. P. Lin	ORCHIDACEAE(蘭科)\n輻射暫花蘭\n尖葉暫花蘭\n 
Odontochilus brevistylus Hook. f.	ORCHIDACEAE(蘭科)\n短柱齒唇蘭\n白齒唇蘭\n 
Odontochilus elwesii Clarke ex Hook. f.	ORCHIDACEAE(蘭科)\n紫葉齒唇蘭 
Odontochilus inabai (Hayata) Hayata ex T. P. Lin	ORCHIDACEAE(蘭科)\n單囊齒唇蘭\n單囊開唇蘭\n 
Odontochilus lanceolatus (Lindl.) Bl.	ORCHIDACEAE(蘭科)\n雙囊齒唇蘭\n二囊開唇蘭\n 
Peristylus calcaratus (Rolfe) S. Y. Hu	ORCHIDACEAE(蘭科)\n貓鬚蘭\n小粉蝶蘭\n 
Peristylus formosanus (Schltr.) T. P. Lin	ORCHIDACEAE(蘭科)\n台灣鷺草 
Peristylus goodyeroides (D. Don) Lindl.	ORCHIDACEAE(蘭科)\n南投闊蕊蘭\n南投玉鳳蘭\n闊蕊蘭
Peristylus lacertiferus (Lindl.) J. J. Sm.	ORCHIDACEAE(蘭科)\n裂唇闊蕊蘭 
Staurochilus luchuensis (Rolfe) Fukuy.	ORCHIDACEAE(蘭科)\n豹紋蘭\n屈子花\n 
Stereosandra javanica Bl.	ORCHIDACEAE(蘭科)\n肉藥蘭 
Didymoplexiella siamensis (Rolfe ex Downie) Seidenf.	ORCHIDACEAE(蘭科)\n錨柱蘭\n擬鬼蘭\n 
Epigeneium fargesii (Finet) Gagnep.	ORCHIDACEAE(蘭科)\n著頦蘭\n小攀龍\n三星石斛
Epigeneium nakaharae (Schltr.) Summerh.	ORCHIDACEAE(蘭科)\n蠟著頦蘭\n連珠石斛\n臘石斛
Sunipia andersonii (King & Pantl.) P. F. Hunt	ORCHIDACEAE(蘭科)\n綠花寶石蘭\n鈴木盤唇蘭\n 
Didiciea cunninghami King & Prain	ORCHIDACEAE(蘭科)\n細花軟葉蘭 
Neottia acuminata Schltr.	ORCHIDACEAE(蘭科)\n鳥巢蘭 
Ania penangiana (Hook. f.) Summerh.	ORCHIDACEAE(蘭科)\n綠花安蘭 
Petrosavia sakuraii (Makino) J. J. Sm. ex Steenis	PETROSAVIACEAE\n櫻井草\n無葉蓮\n 
Sciaphila secundiflora Thwaites ex Benth.	TRIURIDACEAE\n錫蘭霉草 
Sciaphila ramosa Fukuy. & T. Suzuki	TRIURIDACEAE\n多枝霉草\n蘭嶼霉草\n 
毛苞斑葉蘭	Goodyera rubicunda (Blume) Lindl.\nORCHIDACEAE(蘭科)
松葉蕨	nPsilotum nudum (L.) Beauv., Prodr. Fam. Aetheog. 112. 1805; DeVol in Fl. Taiwan 1: 25. 1975. 松葉蕨\nPSILOTACEAE(松葉蕨科)\nAerial stems green, erect or pendent, 10-50 cm long, angular; leaves awl-shaped, 1-2 mm long. Widely distributed in tropics and subtropics. Terrestrial or more often epiphytic; small plants usuall erect; large plants pendent.\n\nTAIPEI: Tatungshan, Kuo 2334*. IISINCHU: Manabashan, Do 725. NANTOU: Chingshuikou, Huang 1940.\nPINGTUNG: Nanjenshan, Kao 73440. TAITUNG: Tawu, Chuang 3461; Is. Lanyu, Huang & Kao 5458.\nHUALIEN: Chingshuishan, Nakamura 3578.
杉葉蔓石松	Lycopodium annotinum L.\nLYCOPODIACEAE
覆葉石松	Lycopodium carinatum Desv.\nLYCOPODIACEAE
木賊葉石松	Lycopodium casuarinoides Spring\nLYCOPODIACEAE
過山龍	Lycopodium cernuum L.\nLYCOPODIACEAE
石松	Lycopodium clavatum L.\nLYCOPODIACEAE
地刷子	Lycopodium complanatum L.\nLYCOPODIACEAE
柳杉葉蔓石松	Lycopodium cryptomerianum Maxim.\nLYCOPODIACEAE
寬葉石松	Lycopodium cunninghamioides Hayata\nLYCOPODIACEAE
銳葉石松	Lycopodium fargesii Hert.\nLYCOPODIACEAE
福氏石松	Lycopodium fordii Bak.\nLYCOPODIACEAE
玉柏	Lycopodium obscurum L.\nLYCOPODIACEAE
垂枝石松	Lycopodium phlegmaria L.\nLYCOPODIACEAE
反捲葉石松	Lycopodium quasipolytrichoides Hayata\nLYCOPODIACEAE
小垂枝石松	Lycopodium salvinioides (Hert.) Tagawa\nLYCOPODIACEAE
小杉葉石松	Lycopodium selago L. var. appressum Desv.\nLYCOPODIACEAE
千層塔	Lycopodium serratum Thunb.\nLYCOPODIACEAE
長柄千層塔	Lycopodium serratum Thunb. var. longipetiolatum Spring\nLYCOPODIACEAE
鱗葉石松	Lycopodium sieboldii Miq.\nLYCOPODIACEAE
相馬氏石松	Lycopodium somae Hayata\nLYCOPODIACEAE
杉葉石松	Lycopodium squarrosum Forst.\nLYCOPODIACEAE
台灣石松	Lycopodium taiwanense Kuo\nLYCOPODIACEAE
玉山石松	Lycopodium veitchii Christ\nLYCOPODIACEAE
玉山地刷子	Lycopodium yueshanense Kuo\nLYCOPODIACEAE
小笠原卷柏	Selaginella boninensis Bak.\nSELAGINELLACEAE
緣毛卷柏	Selaginella ciliaris (Retz.) Spring\nSELAGINELLACEAE
全緣卷柏	Selaginella delicatula (Desv.) Alston\nSELAGINELLACEAE
生根卷柏	Selaginella doederleinii Hieron.\nSELAGINELLACEAE
姬卷柏	Selaginella heterostachys Bak.\nSELAGINELLACEAE
密葉卷柏	Selaginella involvens (Sw.) Spring\nSELAGINELLACEAE
玉山卷柏	Selaginella labordei Hieron. ex Christ\nSELAGINELLACEAE
膜葉卷柏	Selaginella leptophylla Bak.\nSELAGINELLACEAE
異葉卷柏	Selaginella mollendorffii Hieron.\nSELAGINELLACEAE
日本卷柏	Selaginella nipponica Fr. & Sav.\nSELAGINELLACEAE
疏葉卷柏	Selaginella remotifolia Spring\nSELAGINELLACEAE
高雄卷柏	Selaginella repanda (Desv. ex Poir) Spring\nSELAGINELLACEAE
擬密葉卷柏	Selaginella stauntoniana Spring\nSELAGINELLACEAE
萬年松	Selaginella tamariscina (Beauv.) Spring\nSELAGINELLACEAE
擬日本卷柏	Selaginella pseudonipponica Tagawa\nSELAGINELLACEAE
狹葉卷柏	Selaginella satakeana Koidz\nSELAGINELLACEAE
太魯閣卷柏	Selaginella tarokoensis Yamamoto\nSELAGINELLACEAE
台灣水韭	Isoetes taiwanensis DeVol\nISOETACEAE
木賊	Equisetum ramosissimum Desf.\nEQUISETACEAE
台灣木賊	Equisetum ramosissimum Desf. subsp. debile (Roxb.) Hauke\nEQUISETACEAE
薄葉大陰地蕨	Botrychium daucifolium (Wall.) Hook. & Grev.\nOPHIOGLOSSACEAE
阿里山蕨萁	Botrychium lanuginosum (Wall.) Hook. & Grev.\nOPHIOGLOSSACEAE
扇羽陰地蕨	Botrychium lunaria (L.) Sw.\nOPHIOGLOSSACEAE
大陰地蕨	Botrychium ternatum (Thunb.) Sw.\nOPHIOGLOSSACEAE
錫蘭七指蕨	Helminthostachys zeylanica (L.) Hook.\nOPHIOGLOSSACEAE
帶狀瓶爾小草	Ophioderma pendula (L.) Presl\nOPHIOGLOSSACEAE
高山瓶爾小草	Ophioglossum austroasiaticum Nishida\nOPHIOGLOSSACEAE
鈍頭瓶爾小草	Ophioglossum petiolatum Hook.\nOPHIOGLOSSACEAE
網脈瓶爾小草	Ophioglossum reticulatum L.\nOPHIOGLOSSACEAE
狹葉瓶爾小草	Ophioglossum thermale Kom.\nOPHIOGLOSSACEAE
觀音座蓮	Angiopteris lygodiifolia Rosenst.\nMARATTIACEAE
蘭嶼觀音座蓮	Angiopteris palmiformis (Cav.) C. Chr.\nMARATTIACEAE
台灣原始觀音座蓮	Archangiopteris somai Hayata\nMARATTIACEAE
伊藤氏原始觀音座蓮	Archangiopteris itoi Shieh\nMARATTIACEAE
觀音座蓮舅	Marattia pellucida Presl\nMARATTIACEAE
粗齒革葉紫萁	Osmunda banksiaefolia (Pr.) Kuhn\nOSMUNDACEAE
假紫萁	Osmunda cinnamomea L.\nOSMUNDACEAE
絨假紫萁	Osmunda claytoniana L.\nOSMUNDACEAE
紫萁	Osmunda japonica Thunb.\nOSMUNDACEAE
海金沙	Lygodium japonicum (Thunb.) Sw.\nSCHIZAEACEAE
小葉海金沙	Lygodium microphyllum (Cav.) R. Brown\nSCHIZAEACEAE
分枝莎草蕨	Schizaea dichotoma (L.) Sm.\nSCHIZAEACEAE
莎草蕨	Schizaea digitata (L.) Sw.\nSCHIZAEACEAE
芒萁	Dicranopteris linearis (Burm. f.) Underw.\nGLEICHENIACEAE
大羽芒萁	Dicranopteris linearis (Burm. f.) Underw. var. montana Holtt.\nGLEICHENIACEAE
賽芒萁	Dicranopteris linearis (Burm. f.) Underw. var. subpectinata (Christ) Holtt.\nGLEICHENIACEAE
蔓芒萁	Dicranopteris linearis (Burm. f.) Underw. var. tetraphylla (Rosenst.) Nakai\nGLEICHENIACEAE
台灣芒萁	Dicranopteris taiwanensis Ching et Chiu\nGLEICHENIACEAE
逆羽裏白	Diplopterygium blotianum (C. Chr.) Nakai\nGLEICHENIACEAE
中華裏白	Diplopterygium chinensis (Rosenst.) DeVol\nGLEICHENIACEAE
裏白	Diplopterygium glaucum (Houtt.) Nakai\nGLEICHENIACEAE
鱗芽裏白	Diplopterygium laevissimum (Christ) Nakai\nGLEICHENIACEAE
長片蕨	Abrodictyum cumingii Presl.\nHYMENOPHYLLACEAE
毛桿蕨	Callistopteris apiifolia (Presl.) Copel.\nHYMENOPHYLLACEAE
菲律賓厚葉蕨	Cephalomanes laciniatum (Roxb.) DeVol\nHYMENOPHYLLACEAE
厚葉蕨	Cephalomanes clathratum (Tagawa) K. Iwats.\nHYMENOPHYLLACEAE
圓唇假脈蕨	Crepidomanes bilabiatum (Nees & Bl.) Copel.\nHYMENOPHYLLACEAE
翅柄假脈蕨	Crepidomanes latealatum (v. d. Bosch) Copel.\nHYMENOPHYLLACEAE
澗邊假脈蕨	Crepidomanes latemarginale (Eat.) Copel.\nHYMENOPHYLLACEAE
變葉假脈蕨	Crepidomanes palmifolium (Hayata) DeVol\nHYMENOPHYLLACEAE
華東瓶蕨	Crepidomanes birmanicum (Bedd.) K. Iwats.\nHYMENOPHYLLACEAE
假脈蕨	Crepidomanes kurzii (Bedd.) Tagawa & K. Iwats.\nHYMENOPHYLLACEAE
寬葉瓶蕨	Crepidomanes schmidtianum (Zenker ex Taschn.) K. lwats. var. latifrons (v. d. Bosch) K. lwats.\nHYMENOPHYLLACEAE
團扇蕨	Gonocormus minutus (Bl.) v. d. Bosch\nHYMENOPHYLLACEAE
